budget_type,vacation_type,travel_mode,destination_chosen
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Kraków
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Cultural & Historical Exploration,Plane,Warsaw
Medium,Cultural & Historical Exploration,Plane,Vienna
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Stockholm
Medium,Nature & Outdoor Adventure,Train,Newcastle upon Tyne
Medium,Cultural & Historical Exploration,Plane,Athens
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Warsaw
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Leeds
Medium,Nature & Outdoor Adventure,Train,Basel
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Cultural & Historical Exploration,Plane,Milan
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Urban Entertainment & Nightlife,Train,Sheffield
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Urban Entertainment & Nightlife,Plane,Nottingham
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Nature & Outdoor Adventure,Train,London
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Expensive,Cultural & Historical Exploration,Plane,Basel
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Urban Entertainment & Nightlife,Train,Istanbul
Cheap,Relaxation & Wellness,Train,Bucharest
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Bristol
Cheap,Cultural & Historical Exploration,Train,Belgrade
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Urban Entertainment & Nightlife,Train,Chisinau
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Geneva
Cheap,Cultural & Historical Exploration,Train,Tirana
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Train,Helsinki
Cheap,Urban Entertainment & Nightlife,Train,Zürich
Medium,Urban Entertainment & Nightlife,Train,Bradford
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Relaxation & Wellness,Plane,Munich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Belfast
Medium,Urban Entertainment & Nightlife,Train,Nottingham
Expensive,Cultural & Historical Exploration,Plane,Paris
Expensive,Cultural & Historical Exploration,Train,Helsinki
Cheap,Relaxation & Wellness,Train,Ljubljana
